"state_name","district_name","area_sq_km","perimeter_km","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","centroid_lon","centroid_lat","num_vertices","compactness"
"Central India Agency","Tehree",6209.87757,539.122449666063,78.78635461064,24.2956477619829,79.8328856207753,25.4738714690066,79.1985445014986,24.8576317249379,150,0.26848378916075
"Central India Agency","Punnah",4202.97626,441.116654338202,79.3432454586602,24.0268937698294,80.7829711724896,24.9222465708858,80.1880727688774,24.4788526941378,140,0.27143127795213
"Central India Agency","Bijawur",2060.19749,264.876923710468,79.1614984179725,24.2335975881611,79.8650690879353,24.7990979599396,79.5630362336402,24.481565034629,86,0.36900348657008
"Central India Agency","Churkharee",2434.95061,307.813287540253,79.5925012486142,24.6976770119073,80.567632890047,25.4910011325734,80.2509567220131,25.1001889521639,90,0.32294256725353
"Central India Agency","Chuttorpoor",3443.83075,288.120091658261,79.7221433221254,24.2515072313718,80.2787315941207,25.1823209892643,79.9949354493056,24.7293890505289,92,0.52132022548409
"Central India Agency","Adjygur",863.57237,136.5508340506,80.1868942783133,24.1444526933031,80.5538707395159,24.5160640358798,80.4078739444048,24.3126185576689,46,0.58199585174172
"Central India Agency","Nagode",1219.64779,144.052622034616,80.5463067756887,24.0662137274486,80.9830443061187,24.4839374818408,80.7524351386185,24.2972395711,37,0.73858751301577
"Central India Agency","Myhere",1312.38842,184.96595497392,80.5107677336564,23.7948298985804,81.0784339071505,24.3019640968283,80.8442214400599,24.0306240270308,43,0.4820461919062
"Central India Agency","Kotee",192.35845,72.109464329626,80.7709871228174,24.6210354982748,81.0420085848524,24.7851017665006,80.8966343126937,24.6917847103264,23,0.46487543378504
"Central India Agency","Birsingpoor (Punnah)",781.98895,137.430604452795,80.7421257160976,24.4984869623092,81.2412513662699,24.8141707178189,81.0177772803187,24.6557169912395,41,0.52028770672605
"Rajputana Agency","Balmeer",24141.97201,809.862952434731,70.1128452616738,24.6247928869821,72.3919961942606,26.7575706719242,71.3912049231901,25.6266128389301,167,0.46255091161727
"Rajputana Agency","Jessulmeer",42494.8367,1030.24055837085,69.5034028555334,25.9803635057568,72.7037273138684,28.2325404196578,71.09448850181,27.0727024152713,195,0.50311671074792
"Bombay Presidency","Okhamundul",1253.92863,193.860462761903,68.9776816722261,21.9515200138646,69.4029073813136,22.5244015427549,69.1877739903963,22.2259864073344,47,0.4192800454791
"Bombay Presidency","Burda",2973.10448,264.756439180669,69.4563001615013,21.1203434508717,70.1781695968816,21.9453433141394,69.8878021860614,21.6076719362447,48,0.53299970893405
